#
# Wall-normal profile of the co-variances <ui*uj> 
# 
# Simulation parameters:
#
# Lx/h = 0.75			streamwise domain extent
# Ly/h = 2.0			wall-normal domain extent
# Lz/h = 0.4			spanwise domain extent
# nx = 28			number of Fourier modes in the streamwise direction
# ny = 300			number of collocation points in the wall-normal direction
# nz = 30			number of Fourier modes in the spanwise direction
# dt/(h/Ub) = 0.0078		constant timestep
#
# Reb  = Ub*h/nu = 6891.6	Bulk Reynolds number        (imposed)
# Retau = utau*h/nu = 363.6	Friction Reynolds number    (result)
# 
# All qunatities are normalised by the bulk velocity Ub and 
# the channel semi-height h
#
#
y 	uu 	vv 	ww 	uv 	uw 	vw
1.03313 	0.00118946 	0.000348177 	0.000266382 	7.14146e-05 	1.7851e-05 	-8.67965e-07
1.04417 	0.0012281 	0.000352658 	0.000277694 	9.59809e-05 	1.9295e-05 	-2.10622e-06
1.05519 	0.00127291 	0.000359008 	0.000293293 	0.00012036 	2.00282e-05 	-3.50539e-06
1.06621 	0.00132427 	0.000367604 	0.000312947 	0.00014495 	2.07389e-05 	-4.73306e-06
1.07721 	0.00138259 	0.000378831 	0.000335984 	0.000170175 	2.10363e-05 	-5.50883e-06
1.0882 	0.00144645 	0.000392922 	0.000361449 	0.000196056 	2.01901e-05 	-5.83105e-06
1.09916 	0.00151269 	0.000409849 	0.000388585 	0.000222372 	1.8267e-05 	-5.77111e-06
1.11011 	0.00157979 	0.000429366 	0.00041699 	0.000249308 	1.54204e-05 	-5.42562e-06
1.12104 	0.00164915 	0.000451143 	0.000447365 	0.000277054 	1.11573e-05 	-4.9571e-06
1.13194 	0.00172235 	0.000474966 	0.0004803 	0.000305081 	5.5095e-06 	-4.40914e-06
1.14282 	0.0017994 	0.000500753 	0.00051412 	0.000332552 	-9.22402e-07 	-3.86535e-06
1.15367 	0.00187937 	0.000528328 	0.000546538 	0.000359032 	-7.43734e-06 	-3.51314e-06
1.16449 	0.00196124 	0.000557308 	0.000577384 	0.000384612 	-1.32624e-05 	-3.32112e-06
1.17527 	0.00204448 	0.000587273 	0.000608222 	0.000409684 	-1.76643e-05 	-3.02341e-06
1.18603 	0.0021284 	0.000617966 	0.000640727 	0.000434546 	-2.02912e-05 	-2.3662e-06
1.19674 	0.00221052 	0.000649293 	0.000675711 	0.00045919 	-2.18271e-05 	-1.19307e-06
1.20742 	0.00228783 	0.000681292 	0.000713216 	0.000483556 	-2.32615e-05 	6.73476e-07
1.21806 	0.00236041 	0.000714081 	0.000753554 	0.000507972 	-2.48741e-05 	3.26899e-06
1.22865 	0.00243118 	0.000747712 	0.000797107 	0.000533062 	-2.63742e-05 	6.23694e-06
1.23921 	0.00250242 	0.000782117 	0.000842603 	0.000559322 	-2.82728e-05 	9.08303e-06
1.24971 	0.00257586 	0.000817101 	0.000887817 	0.000586945 	-3.30403e-05 	1.11324e-05
1.26017 	0.00265377 	0.00085246 	0.000931939 	0.00061594 	-4.28072e-05 	1.1695e-05
1.27058 	0.00273774 	0.000888133 	0.000976192 	0.000646253 	-5.57651e-05 	1.07251e-05
1.28094 	0.00282797 	0.000924189 	0.00102156 	0.000677789 	-6.7342e-05 	8.48548e-06
1.29125 	0.00292212 	0.000960728 	0.00106798 	0.000710084 	-7.41999e-05 	5.26931e-06
1.3015 	0.00301716 	0.000997783 	0.00111509 	0.00074215 	-7.57576e-05 	1.75899e-06
1.3117 	0.00311173 	0.0010352 	0.00116144 	0.000773051 	-7.50437e-05 	-1.48687e-06
1.32184 	0.00320348 	0.00107273 	0.00120451 	0.000802282 	-7.73809e-05 	-4.37217e-06
1.33192 	0.00329131 	0.00111014 	0.00124343 	0.00082958 	-8.42711e-05 	-7.02102e-06
1.34194 	0.0033767 	0.00114695 	0.00128113 	0.000854856 	-9.21498e-05 	-9.53965e-06
1.3519 	0.00346278 	0.00118278 	0.00132116 	0.000879101 	-9.77537e-05 	-1.17571e-05
1.36179 	0.0035482 	0.00121754 	0.00136419 	0.000903905 	-0.000100403 	-1.32308e-05
1.37162 	0.0036284 	0.00125133 	0.00140866 	0.000930126 	-9.89206e-05 	-1.31958e-05
1.38139 	0.00370314 	0.0012841 	0.00145399 	0.000957631 	-9.06702e-05 	-1.11879e-05
1.39109 	0.00377421 	0.00131567 	0.00150012 	0.000985515 	-7.44207e-05 	-7.27464e-06
1.40072 	0.00384256 	0.00134622 	0.00154731 	0.00101293 	-5.20026e-05 	-1.63451e-06
1.41028 	0.00391006 	0.00137671 	0.00159668 	0.00103943 	-2.86856e-05 	5.30224e-06
1.41976 	0.00397503 	0.0014084 	0.00164652 	0.00106487 	-8.56538e-06 	1.28366e-05
1.42918 	0.00403504 	0.00144198 	0.00169459 	0.00108958 	9.02991e-06 	1.99394e-05
1.43853 	0.00408968 	0.00147721 	0.00174235 	0.00111409 	2.43566e-05 	2.57288e-05
1.4478 	0.00413775 	0.00151346 	0.00179296 	0.00113804 	3.53611e-05 	3.01734e-05
1.45699 	0.00417644 	0.00155005 	0.0018479 	0.0011606 	4.21269e-05 	3.35195e-05
1.46611 	0.00420316 	0.00158669 	0.00190599 	0.00118112 	4.53731e-05 	3.58703e-05
1.47515 	0.0042224 	0.00162334 	0.00196434 	0.00119921 	4.55906e-05 	3.7576e-05
1.48412 	0.00424506 	0.00165991 	0.00202038 	0.00121544 	4.39712e-05 	3.87493e-05
1.49301 	0.00427895 	0.00169606 	0.00207377 	0.00123124 	4.09866e-05 	3.90854e-05
1.50181 	0.00432506 	0.00173136 	0.00212594 	0.00124737 	3.67205e-05 	3.82888e-05
1.51054 	0.00438093 	0.00176567 	0.00217851 	0.00126382 	3.21601e-05 	3.59746e-05
1.51919 	0.00444698 	0.00179928 	0.00223127 	0.00128081 	2.8248e-05 	3.18636e-05
1.52776 	0.00452623 	0.00183288 	0.0022816 	0.00129907 	2.47932e-05 	2.64764e-05
1.53624 	0.0046179 	0.00186724 	0.00232711 	0.0013193 	2.03153e-05 	2.08477e-05
1.54465 	0.00471658 	0.00190288 	0.00236825 	0.00134184 	1.31316e-05 	1.55479e-05
1.55297 	0.00481693 	0.00193973 	0.00240795 	0.00136646 	2.6093e-06 	1.02047e-05
1.56121 	0.00491529 	0.00197725 	0.00244898 	0.00139219 	-9.37023e-06 	4.33457e-06
1.56936 	0.00500819 	0.00201473 	0.00249318 	0.0014178 	-1.7615e-05 	-1.56826e-06
1.57744 	0.00509395 	0.00205183 	0.00254218 	0.00144248 	-1.78353e-05 	-7.03452e-06
1.58542 	0.00517199 	0.00208879 	0.00259409 	0.00146611 	-1.16514e-05 	-1.21418e-05
1.59333 	0.00524402 	0.00212587 	0.00264506 	0.0014891 	-3.93861e-06 	-1.6708e-05
1.60115 	0.00531391 	0.00216291 	0.00269373 	0.00151212 	1.58593e-06 	-2.04748e-05
1.60888 	0.00538538 	0.00219933 	0.00274083 	0.00153596 	3.71176e-06 	-2.3683e-05
1.61653 	0.00545928 	0.00223445 	0.00278601 	0.00156123 	2.89959e-06 	-2.67025e-05
1.6241 	0.00553573 	0.00226774 	0.0028292 	0.00158761 	1.10351e-06 	-2.95226e-05
1.63158 	0.00561508 	0.00229906 	0.00287201 	0.00161404 	3.59668e-07 	-3.22036e-05
1.63897 	0.00569671 	0.00232857 	0.00291436 	0.0016393 	9.1515e-07 	-3.45271e-05
1.64628 	0.00577962 	0.00235644 	0.00295373 	0.00166229 	5.31108e-07 	-3.61798e-05
1.65351 	0.00586278 	0.00238264 	0.0029884 	0.00168278 	-3.77431e-06 	-3.70007e-05
1.66065 	0.00594604 	0.00240689 	0.0030198 	0.00170104 	-1.38252e-05 	-3.68481e-05
1.6677 	0.00602863 	0.0024287 	0.00305114 	0.00171739 	-2.90914e-05 	-3.5533e-05
1.67467 	0.00610779 	0.00244763 	0.00308466 	0.00173232 	-4.68202e-05 	-3.31597e-05
1.68156 	0.00618132 	0.00246361 	0.00312073 	0.00174639 	-6.27924e-05 	-3.00143e-05
1.68836 	0.00625035 	0.00247704 	0.00315895 	0.00176 	-7.36777e-05 	-2.61519e-05
1.69507 	0.00631654 	0.0024885 	0.00319974 	0.00177384 	-8.05484e-05 	-2.18356e-05
1.70171 	0.00638003 	0.00249849 	0.00324317 	0.00178886 	-8.52757e-05 	-1.75898e-05
1.70826 	0.00644022 	0.0025074 	0.00328681 	0.0018056 	-8.67701e-05 	-1.37445e-05
1.71472 	0.00649645 	0.00251575 	0.00332662 	0.00182407 	-8.45229e-05 	-1.04501e-05
1.7211 	0.00654939 	0.00252409 	0.00335929 	0.00184408 	-8.0274e-05 	-7.76175e-06
1.7274 	0.00660064 	0.00253284 	0.00338415 	0.00186506 	-7.52073e-05 	-5.73979e-06
1.73362 	0.00665246 	0.00254211 	0.00340473 	0.00188625 	-6.89242e-05 	-4.38173e-06
1.73976 	0.00670605 	0.00255181 	0.00342579 	0.00190688 	-6.07251e-05 	-3.46531e-06
1.74581 	0.00676061 	0.00256182 	0.00344963 	0.00192636 	-5.05422e-05 	-2.71424e-06
