# X, Y, wSS_x, wSS_y, wSS_z
-7.371794871794869550e+02 -2.457264957264960117e+02 -4.842035466096299978e-01 -2.324375018740930110e-01 -2.324375018740930110e-01
-7.051282051282049679e+02 -2.350427350427349893e+02 -4.841996827059890096e-01 -2.324414244361990012e-01 -2.324414244361990012e-01
-6.730769230769229807e+02 -2.243589743589739953e+02 -4.841889035195119928e-01 -2.324474200810530133e-01 -2.324474200810530133e-01
-6.730769230769229807e+02 -2.243589743589739953e+02 -4.840906573326190232e-01 -2.323825690853059955e-01 -2.323825690853059955e-01
-6.410256410256409936e+02 -2.136752136752139961e+02 -4.840876057817279920e-01 -2.323868831304969906e-01 -2.323868831304969906e-01
-6.089743589743590064e+02 -2.029914529914530021e+02 -4.840834445876029957e-01 -2.323905295777030089e-01 -2.323905295777030089e-01
-5.769230769230770193e+02 -1.923076923076920082e+02 -4.840783160816010122e-01 -2.323935901470070009e-01 -2.323935901470070009e-01
-5.769230769230770193e+02 -1.923076923076920082e+02 -4.840723552359770254e-01 -2.323961393674310039e-01 -2.323961393674310039e-01
-5.448717948717950321e+02 -1.816239316239320090e+02 -4.839745871423949963e-01 -2.323373180551029926e-01 -2.323373180551029926e-01
-5.128205128205130450e+02 -1.709401709401709866e+02 -4.839701792541160064e-01 -2.323407187998980106e-01 -2.323407187998980106e-01
-4.807692307692310010e+02 -1.602564102564099926e+02 -4.839588605481899841e-01 -2.323459889004320100e-01 -2.323459889004320100e-01
-4.487179487179490138e+02 -1.495726495726499934e+02 -4.838644310179759933e-01 -2.322888086890770032e-01 -2.322888086890770032e-01
-4.166666666666670267e+02 -1.388888888888889994e+02 -4.838598228251609901e-01 -2.322919907803590034e-01 -2.322919907803590034e-01
-3.846153846153849827e+02 -1.282051282051280054e+02 -4.838544220348710012e-01 -2.322946876453000076e-01 -2.322946876453000076e-01
-3.846153846153849827e+02 -1.282051282051280054e+02 -4.837610016638220212e-01 -2.322378555210440065e-01 -2.322378555210440065e-01
-3.525641025641029955e+02 -1.175213675213680062e+02 -4.837570656744589748e-01 -2.322413472848030014e-01 -2.322413472848030014e-01
-3.205128205128210084e+02 -1.068376068376069981e+02 -4.837522988898240173e-01 -2.322443350278630136e-01 -2.322443350278630136e-01
-2.884615384615379980e+02 -9.615384615384610356e+01 -4.837468166917739953e-01 -2.322468816805960123e-01 -2.322468816805960123e-01
-2.884615384615379980e+02 -9.615384615384610356e+01 -4.837407277147959817e-01 -2.322490453404529864e-01 -2.322490453404529864e-01
-2.564102564102560109e+02 -8.547008547008539381e+01 -4.836524138950270002e-01 -2.321949209574440121e-01 -2.321949209574440121e-01
-2.243589743589739953e+02 -7.478632478632479774e+01 -4.836475265717030125e-01 -2.321977364705329894e-01 -2.321977364705329894e-01
-1.923076923076930029e+02 -6.410256410256420168e+01 -4.836419951133190120e-01 -2.322001512532730072e-01 -2.322001512532730072e-01
-1.923076923076920082e+02 -6.410256410256410220e+01 -4.835546897803730260e-01 -2.321464319944659960e-01 -2.321464319944659960e-01
-1.602564102564099926e+02 -5.341880341880330008e+01 -4.835503952549650153e-01 -2.321495122741940031e-01 -2.321495122741940031e-01
-1.282051282051280054e+02 -4.273504273504269690e+01 -4.835454222578849937e-01 -2.321521753753620076e-01 -2.321521753753620076e-01
-9.615384615384620304e+01 -3.205128205128210084e+01 -4.835398706090400234e-01 -2.321544746810320081e-01 -2.321544746810320081e-01
-9.615384615384620304e+01 -3.205128205128210084e+01 -4.835338332353459889e-01 -2.321564599346520041e-01 -2.321564599346520041e-01
-6.410256410256410220e+01 -2.136752136752140174e+01 -4.834509281585739893e-01 -2.321050996719969950e-01 -2.321050996719969950e-01
-3.205128205128190189e+01 -1.068376068376059962e+01 -4.834459012945209744e-01 -2.321076281354589876e-01 -2.321076281354589876e-01
0.000000000000000000e+00 0.000000000000000000e+00 -4.834343770399079920e-01 -2.321117411619630089e-01 -2.321117411619630089e-01
3.205128205128190189e+01 1.068376068376059962e+01 -4.833539312690339762e-01 -2.320616599148100090e-01 -2.320616599148100090e-01
6.410256410256390325e+01 2.136752136752129871e+01 -4.833488790044719874e-01 -2.320640693402049870e-01 -2.320640693402049870e-01
9.615384615384580513e+01 3.205128205128190189e+01 -4.833433627583130221e-01 -2.320661801057820051e-01 -2.320661801057820051e-01
9.615384615384580513e+01 3.205128205128190189e+01 -4.832638825883679989e-01 -2.320165495430540070e-01 -2.320165495430540070e-01
9.615384615384580513e+01 3.205128205128190189e+01 -4.832593225979350260e-01 -2.320191667876209951e-01 -2.320191667876209951e-01
1.282051282051290002e+02 4.273504273504290296e+01 -4.832593225979350260e-01 -2.320191667876209951e-01 -2.320191667876209951e-01
1.602564102564099926e+02 5.341880341880349903e+01 -4.832542691835979842e-01 -2.320214717225499990e-01 -2.320214717225499990e-01
1.923076923076920082e+02 6.410256410256420168e+01 -4.832488043001180178e-01 -2.320235065762049909e-01 -2.320235065762049909e-01
1.923076923076930029e+02 6.410256410256420168e+01 -4.831716131440830231e-01 -2.319750989524740070e-01 -2.319750989524740070e-01
2.243589743589739953e+02 7.478632478632479774e+01 -4.831670261511399889e-01 -2.319775951374190015e-01 -2.319775951374190015e-01
2.564102564102560109e+02 8.547008547008549328e+01 -4.831619973873180207e-01 -2.319798080984619981e-01 -2.319798080984619981e-01
2.884615384615379980e+02 9.615384615384610356e+01 -4.831565990646419784e-01 -2.319817763759159934e-01 -2.319817763759159934e-01
2.884615384615379980e+02 9.615384615384610356e+01 -4.831508966412870199e-01 -2.319835348681169862e-01 -2.319835348681169862e-01
3.205128205128199852e+02 1.068376068376069981e+02 -4.830769638714300096e-01 -2.319369171143799979e-01 -2.319369171143799979e-01
3.525641025641029955e+02 1.175213675213680062e+02 -4.830719782038370158e-01 -2.319390498119590083e-01 -2.319390498119590083e-01
3.846153846153849827e+02 1.282051282051280054e+02 -4.830610809454889965e-01 -2.319426845426119932e-01 -2.319426845426119932e-01
3.846153846153849827e+02 1.282051282051280054e+02 -4.829936355603829945e-01 -2.318948136112219949e-01 -2.318948136112219949e-01
4.166666666666670267e+02 1.388888888888889994e+02 -4.829890642440130000e-01 -2.318971085016499900e-01 -2.318971085016499900e-01
4.487179487179490138e+02 1.495726495726499934e+02 -4.829841408829210203e-01 -2.318991718897200072e-01 -2.318991718897200072e-01
4.807692307692310010e+02 1.602564102564099926e+02 -4.829734748096080055e-01 -2.319027304931859934e-01 -2.319027304931859934e-01
4.807692307692310010e+02 1.602564102564099926e+02 -4.829077931762669751e-01 -2.318559322683269863e-01 -2.318559322683269863e-01
5.128205128205130450e+02 1.709401709401709866e+02 -4.829032630479410115e-01 -2.318581451873699961e-01 -2.318581451873699961e-01
5.448717948717950321e+02 1.816239316239310142e+02 -4.828984198699449726e-01 -2.318601492276989862e-01 -2.318601492276989862e-01
5.769230769230759961e+02 1.923076923076920082e+02 -4.828933191182270268e-01 -2.318619741622340025e-01 -2.318619741622340025e-01
5.769230769230770193e+02 1.923076923076920082e+02 -4.828239711774620080e-01 -2.318178623229210089e-01 -2.318178623229210089e-01
6.089743589743590064e+02 2.029914529914530021e+02 -4.828195022152940163e-01 -2.318200045932430065e-01 -2.318200045932430065e-01
6.410256410256409936e+02 2.136752136752139961e+02 -4.828147556601680157e-01 -2.318219588913489893e-01 -2.318219588913489893e-01
6.730769230769229807e+02 2.243589743589739953e+02 -4.828046279049090228e-01 -2.318254106908670120e-01 -2.318254106908670120e-01
7.051282051282049679e+02 2.350427350427349893e+02 -4.827377294376070105e-01 -2.317826670065989969e-01 -2.317826670065989969e-01
7.371794871794869550e+02 2.457264957264960117e+02 -4.827330948174859970e-01 -2.317845812183839949e-01 -2.317845812183839949e-01
7.692307692307690559e+02 2.564102564102560109e+02 -4.827282612724930200e-01 -2.317863523572639972e-01 -2.317863523572639972e-01
7.692307692307690559e+02 2.564102564102560109e+02 -4.827232703110559964e-01 -2.317880034030579961e-01 -2.317880034030579961e-01
8.012820512820510430e+02 2.670940170940169764e+02 -4.826578990297640259e-01 -2.317461174885689923e-01 -2.317461174885689923e-01
8.333333333333340533e+02 2.777777777777779988e+02 -4.826533907609840135e-01 -2.317480023183109972e-01 -2.317480023183109972e-01
8.653846153846160405e+02 2.884615384615390212e+02 -4.826438905951179748e-01 -2.317514143242929980e-01 -2.317514143242929980e-01
8.974358974358970045e+02 2.991452991452990204e+02 -4.825799736280920182e-01 -2.317103483505340011e-01 -2.317103483505340011e-01
9.294871794871800148e+02 3.098290598290599860e+02 -4.825756057099059859e-01 -2.317122161157459947e-01 -2.317122161157459947e-01
9.615384615384609788e+02 3.205128205128199852e+02 -4.825710867114060276e-01 -2.317139737982769898e-01 -2.317139737982769898e-01
9.615384615384620020e+02 3.205128205128199852e+02 -4.825664510411030172e-01 -2.317156411523060011e-01 -2.317156411523060011e-01
9.935897435897429659e+02 3.311965811965810076e+02 -4.825039258333950198e-01 -2.316753606661270115e-01 -2.316753606661270115e-01
1.025641025641029955e+03 3.418803418803419731e+02 -4.824997119887600161e-01 -2.316772258630430126e-01 -2.316772258630430126e-01
1.057692307692309896e+03 3.525641025641029955e+02 -4.824909234411189907e-01 -2.316806920996999919e-01 -2.316806920996999919e-01
1.089743589743590064e+03 3.632478632478629947e+02 -4.824297384546750167e-01 -2.316411668632779863e-01 -2.316411668632779863e-01
1.121794871794870005e+03 3.739316239316240171e+02 -4.824256919545569788e-01 -2.316430468399399978e-01 -2.316430468399399978e-01
1.153846153846149946e+03 3.846153846153849827e+02 -4.824215327317690205e-01 -2.316448483835009953e-01 -2.316448483835009953e-01
1.153846153846149946e+03 3.846153846153849827e+02 -4.824172891014659736e-01 -2.316465889332000039e-01 -2.316465889332000039e-01
1.185897435897439891e+03 3.952991452991449819e+02 -4.823574042852030175e-01 -2.316077939994539980e-01 -2.316077939994539980e-01
1.217948717948720059e+03 4.059829059829060043e+02 -4.823535374172849832e-01 -2.316097097830639995e-01 -2.316097097830639995e-01
