x;y;z
34149.43889;5007.242255;321.833553
34141.0617;5001.781235;321.552358
34132.68451;4996.320216;321.6619215
34124.30733;4990.859196;320.7647333
34115.93014;4985.398177;318.0258279
34107.55295;4979.937157;315.1067754
34099.17576;4974.476137;313.3926534
34090.79858;4969.015118;312.0551222
34082.42139;4963.554098;310.3224109
34074.0442;4958.093079;308.1828099
34065.66702;4952.632059;305.5635459
34057.28983;4947.171039;303.236048
34048.91264;4941.71002;301.1552427
34040.53545;4936.249;299.5952412
34032.15827;4930.78798;298.582218
34023.78108;4925.326961;297.7662336
34015.40389;4919.865941;297.4517886
34007.02671;4914.404922;296.1140543
33998.64952;4908.943902;297.3798963
33990.27233;4903.482882;298.3821073
33981.89514;4898.021863;299.5286944
33973.51796;4892.560843;301.544457
33965.14077;4887.099824;306.3978613
33956.76358;4881.638804;310.0961201
33948.3864;4876.177784;312.9041193
33940.00921;4870.716765;316.2705933
33931.63202;4865.255745;319.6361717
33923.25483;4859.794726;322.5874199
33914.87765;4854.333706;326.0425332
33906.50046;4848.872686;329.4497838
33898.12327;4843.411667;332.5358103
33889.74609;4837.950647;335.9071888
33881.3689;4832.489628;338.6321622
33872.99171;4827.028608;340.7200737
33864.61452;4821.567588;343.1248552
33856.23734;4816.106569;345.5514711
33847.86015;4810.645549;347.8656004
33839.48296;4805.184529;350.4282344
33831.10578;4799.72351;353.1817078
33822.72859;4794.26249;356.2149371
33814.3514;4788.801471;359.1372864
33805.97421;4783.340451;362.3424057
33797.59703;4777.879431;364.6951421
33789.21984;4772.418412;365.1095341
33780.84265;4766.957392;363.9709679
33772.46547;4761.496373;362.7529836
33764.08828;4756.035353;361.8152126
33755.71109;4750.574333;360.866911
33747.3339;4745.113314;359.8965678
33738.95672;4739.652294;358.7005236
33730.57953;4734.191275;357.7510545
33722.20234;4728.730255;357.451488
33713.82515;4723.269235;357.9498317
33705.44797;4717.808216;358.1565876
33697.07078;4712.347196;358.2892032
33688.69359;4706.886177;358.5712852
33680.31641;4701.425157;359.1123277
33671.93922;4695.964137;359.9792147
33663.56203;4690.503118;361.0013381
33655.18484;4685.042098;362.7268052
33646.80766;4679.581078;364.7223051
33638.43047;4674.120059;366.7931668
33630.05328;4668.659039;369.1087068
33621.6761;4663.19802;371.3485656
33613.29891;4657.737;373.7342515
33604.92172;4652.27598;375.4348645
33596.54453;4646.814961;376.1049139
33588.16735;4641.353941;375.8341585
33579.79016;4635.892922;375.494879
33571.41297;4630.431902;375.6825982
33563.03579;4624.970882;376.3691317
33554.6586;4619.509863;377.2305635
33546.28141;4614.048843;378.6931649
33537.90422;4608.587824;380.2459697
33529.52704;4603.126804;381.8419643
33521.14985;4597.665784;383.9500208
33512.77266;4592.204765;386.4355145
33504.39548;4586.743745;388.8760031
33496.01829;4581.282725;391.2917292
33487.6411;4575.821706;394.0163596
33479.26391;4570.360686;396.9401945
33470.88673;4564.899667;399.726742
33462.50954;4559.438647;402.2202642
33454.13235;4553.977627;405.4020633
33445.75517;4548.516608;408.5110378
33437.37798;4543.055588;411.6536004
33429.00079;4537.594569;415.2383318
33420.6236;4532.133549;418.9443441
33412.24642;4526.672529;423.1823246
33403.86923;4521.21151;426.7320178
33395.49204;4515.75049;430.5295677
33387.11486;4510.289471;434.4980833
33378.73767;4504.828451;438.8753222
33370.36048;4499.367431;443.4964111
33361.98329;4493.906412;447.89742
33353.60611;4488.445392;452.5425322
33345.22892;4482.984373;456.8959319
33336.85173;4477.523353;461.0111393
33328.47455;4472.062333;466.7793533
33320.09736;4466.601314;473.2913945
33311.72017;4461.140294;477.3353893
33303.34298;4455.679274;480.1614124
33294.9658;4450.218255;482.571456
33286.58861;4444.757235;483.7802621
33278.21142;4439.296216;484.3815442
33269.83424;4433.835196;483.545719
33261.45705;4428.374176;480.4868285
33253.07986;4422.913157;478.036903
33244.70267;4417.452137;473.4974723
33236.32549;4411.991118;467.4678606
33227.9483;4406.530098;461.6181536
33219.57111;4401.069078;455.6375106
33211.19392;4395.608059;449.4901652
33202.81674;4390.147039;441.6916063
33194.43955;4384.68602;434.8610903
33186.06236;4379.225;428.4077902
33177.68518;4373.76398;421.8306249
33169.30799;4368.302961;415.1793768
33160.9308;4362.841941;408.6470415
33152.55361;4357.380922;403.1279363
33144.17643;4351.919902;398.2726699
33135.79924;4346.458882;393.2607506
33127.42205;4340.997863;388.8302086
33119.04487;4335.536843;384.2405038
33110.66768;4330.075823;379.591679
33102.29049;4324.614804;375.1435487
33093.9133;4319.153784;369.9618168
33085.53612;4313.692765;366.490221
33077.15893;4308.231745;361.6486767
33068.78174;4302.770725;357.3242912
33060.40456;4297.309706;353.0121687
33052.02737;4291.848686;348.3030244
33043.65018;4286.387667;344.267136
33035.27299;4280.926647;341.563914
33026.89581;4275.465627;338.4190769
33018.51862;4270.004608;334.8656694
33010.14143;4264.543588;330.0172119
33001.76425;4259.082569;326.8431553
32993.38706;4253.621549;324.4358388
32985.00987;4248.160529;322.6550893
32976.63268;4242.69951;320.874329
32968.2555;4237.23849;318.3665741
32959.87831;4231.77747;315.6361436
32951.50112;4226.316451;313.1078535
32943.12394;4220.855431;309.9420461
32934.74675;4215.394412;306.8050007
32926.36956;4209.933392;302.9912986
32917.99237;4204.472372;299.5897086
32909.61519;4199.011353;295.8685838
32901.238;4193.550333;292.4630407
32892.86081;4188.089314;289.6439149
32884.48363;4182.628294;285.7176285
32876.10644;4177.167274;282.3316767
32867.72925;4171.706255;278.3415494
32859.35206;4166.245235;275.0750954
32850.97488;4160.784216;271.6354639
32842.59769;4155.323196;268.4352483
32834.2205;4149.862176;265.8546195
32825.84332;4144.401157;262.8591865
32817.46613;4138.940137;260.1106526
32809.08894;4133.479118;257.6673778
32800.71175;4128.018098;255.6974247
32792.33457;4122.557078;253.911703
32783.95738;4117.096059;251.8555851
32775.58019;4111.635039;250.390812
32767.20301;4106.174019;249.8694353
32758.82582;4100.713;248.7124415
32750.44863;4095.25198;248.510204
32742.07144;4089.790961;249.4541532
32733.69426;4084.329941;249.9461414
32725.31707;4078.868921;249.2596592
32716.93988;4073.407902;248.2960778
32708.56269;4067.946882;247.4954979
32700.18551;4062.485863;246.5593402
32691.80832;4057.024843;244.7477682
32683.43113;4051.563823;242.2248543
32675.05395;4046.102804;240.3975894
32666.67676;4040.641784;238.2712954
32658.29957;4035.180765;235.9580714
32649.92238;4029.719745;234.1237219
32641.5452;4024.258725;232.786372
32633.16801;4018.797706;232.2383021
32624.79082;4013.336686;231.4580684
32616.41364;4007.875667;230.6280436
32608.03645;4002.414647;231.6330419
32599.65926;3996.953627;232.8521716
32591.28207;3991.492608;234.719815
32582.90489;3986.031588;236.2491139
32574.5277;3980.570568;235.3396277
32566.15051;3975.109549;232.5155533
32557.77333;3969.648529;229.3896122
32549.39614;3964.18751;225.5751296
32541.01895;3958.72649;222.3526907
32532.64176;3953.26547;218.9891381
32524.26458;3947.804451;216.0274087
32515.88739;3942.343431;214.394186
32507.5102;3936.882412;212.1023622
32499.13302;3931.421392;210.3937269
32490.75583;3925.960372;208.340423
32482.37864;3920.499353;206.7523977
32474.00145;3915.038333;205.217942
32465.62427;3909.577314;205.0250995
32457.24708;3904.116294;206.2468726
32448.86989;3898.655274;207.1419165
32440.49271;3893.194255;208.676386
32432.11552;3887.733235;209.9481802
32423.73833;3882.272215;209.946572
32415.36114;3876.811196;207.6746939
32406.98396;3871.350176;203.095372
32398.60677;3865.889157;198.6144973
32390.22958;3860.428137;195.9973019
32381.8524;3854.967117;197.0613132
32373.47521;3849.506098;199.5869958
32365.09802;3844.045078;200.5461193
32356.72083;3838.584059;201.5562723
32348.34365;3833.123039;199.4677276
32339.96646;3827.662019;196.2990001
32331.58927;3822.201;193.3911812
32323.21209;3816.73998;192.0236827
