#
# Wall-normal profile of the mean velocities and their wall-normal derivatives
# 
# Simulation parameters:
#
# Lx/h = 0.75			streamwise domain extent
# Ly/h = 2.0			wall-normal domain extent
# Lz/h = 0.4			spanwise domain extent
# nx = 28			number of Fourier modes in the streamwise direction
# ny = 300			number of collocation points in the wall-normal direction
# nz = 30			number of Fourier modes in the spanwise direction
# dt/(h/Ub) = 0.0078		constant timestep
#
# Reb  = Ub*h/nu = 6891.6	Bulk Reynolds number        (imposed)
# Retau = utau*h/nu = 363.6	Friction Reynolds number    (result)
# 
# All qunatities are normalised by the bulk velocity Ub and 
# the channel semi-height h
#
#
y 	U 	W 	Uy 	Wy 	Uyy 	Wyy
1.82227 	0.765745 	0.000794781 	-0.948622 	-0.0154363 	-0.129987 	-0.420505
1.82716 	0.761104 	0.000714717 	-0.948884 	-0.017184 	0.0240977 	-0.285424
1.83198 	0.756532 	0.000629125 	-0.94853 	-0.0182336 	0.114663 	-0.151412
1.83673 	0.752031 	0.000541351 	-0.947822 	-0.0186483 	0.198478 	-0.0189297
1.8414 	0.747603 	0.000454574 	-0.946346 	-0.0183298 	0.469017 	0.16756
1.84601 	0.743252 	0.000372827 	-0.943141 	-0.0169696 	0.946058 	0.434471
1.85054 	0.738986 	0.000301368 	-0.937675 	-0.0143149 	1.4578 	0.735616
1.85501 	0.734815 	0.000245661 	-0.930247 	-0.0104505 	1.84113 	0.9747
1.8594 	0.730744 	0.000209462 	-0.92169 	-0.00597751 	2.01106 	1.02125
1.86373 	0.726773 	0.000192684 	-0.913105 	-0.00192953 	1.90977 	0.815849
1.86799 	0.722898 	0.000190945 	-0.90565 	0.000878444 	1.5533 	0.499179
1.87219 	0.719111 	0.000198263 	-0.900155 	0.0024454 	1.04133 	0.264849
1.87632 	0.7154 	0.000210193 	-0.897148 	0.00324612 	0.377451 	0.131879
1.88038 	0.711755 	0.000224131 	-0.897429 	0.00352528 	-0.574395 	-0.00127529
1.88438 	0.708157 	0.000237737 	-0.902255 	0.00314289 	-1.9037 	-0.202332
1.88832 	0.704586 	0.000247891 	-0.912931 	0.00183933 	-3.57707 	-0.468714
1.8922 	0.701018 	0.000250775 	-0.930494 	-0.00054241 	-5.54413 	-0.76319
1.89601 	0.697425 	0.000242462 	-0.955834 	-0.00400076 	-7.81315 	-1.04465
1.89976 	0.693779 	0.000219579 	-0.989955 	-0.00833075 	-10.4614 	-1.24505
1.90345 	0.690048 	0.000180165 	-1.03418 	-0.013061 	-13.609 	-1.29133
1.90708 	0.686197 	0.000124422 	-1.09018 	-0.0175761 	-17.3612 	-1.16996
1.91065 	0.682184 	5.46818e-05 	-1.15984 	-0.0213266 	-21.7845 	-0.908662
1.91416 	0.677965 	-2.51195e-05 	-1.24517 	-0.0238895 	-26.9474 	-0.534378
1.91762 	0.673491 	-0.000109997 	-1.34839 	-0.0249887 	-32.9696 	-0.0972905
1.92101 	0.668706 	-0.000194658 	-1.47201 	-0.0246046 	-39.9821 	0.31244
1.92436 	0.663549 	-0.00027453 	-1.61874 	-0.0230311 	-48.0242 	0.606398
1.92764 	0.657954 	-0.000346634 	-1.7911 	-0.0207761 	-57.0541 	0.738678
1.93087 	0.651851 	-0.000409905 	-1.99137 	-0.0183981 	-67.1021 	0.707616
1.93405 	0.645166 	-0.000465026 	-2.22207 	-0.0163845 	-78.3515 	0.540991
1.93718 	0.637821 	-0.000513952 	-2.48627 	-0.0150645 	-91.0657 	0.296665
1.94025 	0.629732 	-0.00055922 	-2.78766 	-0.0145348 	-105.516 	0.0531552
